Family,Member,Total_Images,Avg_Similarity,Status
F0598,MID5,8,0.5698341131210327,processed
F0598,MID1,11,0.508855402469635,processed
F0198,MID1,10,0.6520264148712158,processed
F0198,MID3,6,0.6038702726364136,processed
F0198,MID5,9,0.650493860244751,processed
F0198,MID2,6,0.6975266337394714,processed
F0198,MID4,7,0.6293978691101074,processed
F0878,MID4,3,0.6601377129554749,processed
F0878,MID2,8,0.6971715688705444,processed
F0878,MID1,10,0.6491433382034302,processed
F0878,MID3,6,0.5668460726737976,processed
F0088,MID4,7,0.6098371744155884,processed
F0088,MID2,12,0.6381046175956726,processed
F0088,MID6,4,0.8398367166519165,processed
F0088,MID3,9,0.5492526888847351,processed
F0088,MID5,8,0.6390101909637451,processed
F0088,MID1,13,0.5766801238059998,processed
F0935,MID5,3,0.8458694815635681,processed
F0935,MID1,9,0.7026722431182861,processed
F0935,MID3,2,0.5823420286178589,processed
F0935,MID2,7,0.6437402963638306,processed
F0935,MID4,2,0.6836709976196289,processed
F0526,MID2,3,0.5583176612854004,processed
F0526,MID3,6,0.6132358312606812,processed
F0526,MID1,9,0.49617040157318115,processed
F0651,MID3,3,0.6886557936668396,processed
F0651,MID1,9,0.6151506900787354,processed
F0651,MID2,5,0.76690673828125,processed
F0327,MID6,2,0.738577127456665,processed
F0327,MID2,2,0.8025320768356323,processed
F0327,MID4,2,0.81247878074646,processed
F0327,MID3,2,0.8215120434761047,processed
F0327,MID1,3,0.6964834332466125,processed
F0327,MID5,2,0.676181435585022,processed
F0795,MID3,5,0.7012227177619934,processed
F0795,MID5,5,0.6070051789283752,processed
F0795,MID4,6,0.6943479180335999,processed
F0795,MID1,12,0.48979032039642334,processed
F0795,MID2,4,0.7623066902160645,processed
F0904,MID2,8,0.6527915596961975,processed
F0904,MID1,9,0.630578875541687,processed
F0549,MID4,2,0.8537294864654541,processed
F0549,MID3,3,0.7775647640228271,processed
F0549,MID1,8,0.577314019203186,processed
F0549,MID2,9,0.6371200084686279,processed
F0816,MID5,3,0.7747146487236023,processed
F0816,MID1,6,0.7200753092765808,processed
F0816,MID2,4,0.7568724155426025,processed
F0816,MID4,4,0.7625089287757874,processed
F0136,MID2,4,0.7326071262359619,processed
F0136,MID1,4,0.7241474390029907,processed
F0790,MID5,13,0.6800409555435181,processed
F0790,MID6,3,0.8112618923187256,processed
F0790,MID2,15,0.6913298964500427,processed
F0790,MID3,3,0.7382214665412903,processed
F0790,MID1,11,0.6641623377799988,processed
F0790,MID4,9,0.7247989177703857,processed
F0703,MID1,5,0.7383643388748169,processed
F0703,MID2,3,0.7167732119560242,processed
F0703,MID3,2,0.8759413957595825,processed
F0703,MID4,2,0.907685399055481,processed
F0207,MID1,11,0.731079638004303,processed
F0207,MID2,13,0.7128300070762634,processed
F0207,MID3,11,0.6440514326095581,processed
F0954,MID2,8,0.6662449836730957,processed
F0954,MID5,5,0.6232718825340271,processed
F0954,MID4,6,0.6330333948135376,processed
F0954,MID3,7,0.6402449011802673,processed
F0954,MID1,11,0.7238677740097046,processed
F0540,MID2,4,0.5575738549232483,processed
F0540,MID4,2,0.7860115170478821,processed
F0540,MID1,6,0.5150251984596252,processed
F0612,MID2,2,0.8097844123840332,processed
F0612,MID1,3,0.6071877479553223,processed
F0664,MID3,3,0.4077463150024414,processed
F0664,MID5,6,0.2932523787021637,processed
F0664,MID7,2,0.8065469264984131,processed
F0664,MID4,4,0.5063578486442566,processed
F0664,MID1,15,0.49011534452438354,processed
F0664,MID2,4,0.6880253553390503,processed
F0579,MID8,4,0.6180703043937683,processed
F0579,MID2,2,0.8248381614685059,processed
F0579,MID4,8,0.4723590016365051,processed
F0579,MID7,8,0.4972449243068695,processed
F0579,MID6,4,0.5142234563827515,processed
F0579,MID1,8,0.3808841407299042,processed
F0579,MID9,3,0.6511022448539734,processed
F0579,MID5,8,0.3798700273036957,processed
F0411,MID2,6,0.7097042202949524,processed
F0411,MID1,3,0.699196994304657,processed
F0411,MID3,5,0.6064607501029968,processed
F0882,MID2,5,0.7238384485244751,processed
F0882,MID4,2,0.7469686269760132,processed
F0882,MID5,4,0.5320127606391907,processed
F0882,MID3,2,0.6902128458023071,processed
F0882,MID1,14,0.6157091856002808,processed
F0718,MID2,6,0.73634934425354,processed
F0718,MID4,6,0.6733489036560059,processed
F0718,MID3,7,0.7224481701850891,processed
F0718,MID1,7,0.7476269602775574,processed
F0834,MID3,5,0.6107747554779053,processed
F0834,MID2,3,0.8197939991950989,processed
F0834,MID1,8,0.5738352537155151,processed
F0212,MID2,6,0.48796066641807556,processed
F0212,MID3,4,0.6269344091415405,processed
F0212,MID4,2,0.6358371376991272,processed
F0212,MID1,8,0.6872820258140564,processed
F0340,MID2,3,0.6210508346557617,processed
F0340,MID1,12,0.34635210037231445,processed
F0340,MID3,12,0.3625386953353882,processed
F0496,MID3,4,0.7198209166526794,processed
F0496,MID2,7,0.7098745107650757,processed
F0496,MID5,2,0.8629513382911682,processed
F0496,MID4,3,0.7589632868766785,processed
F0496,MID1,10,0.7132806181907654,processed
F0252,MID3,5,0.6999072432518005,processed
F0252,MID1,8,0.533017098903656,processed
F0252,MID4,2,0.9182654023170471,processed
F0252,MID2,4,0.663322925567627,processed
F0432,MID1,17,0.5286557674407959,processed
F0432,MID6,3,0.40327024459838867,processed
F0432,MID4,5,0.5278494954109192,processed
F0432,MID3,3,0.7992644309997559,processed
